año,mes,periodo,codigo_distribuidora,codigo_agencia,meta_venta,meta_unidades
2024,2,202402,DIST-010,AGP-1003,26138014.0,9612
2024,2,202402,DIST_010,AGP-1004,26342358.0,16304
2024,3,202403,DIST-001,AGN-101,42525814.0,18422
2024,3,202403,DIST_001,AGN-102,67263670.0,11808
2024,3,202403,DIST-001,AGN-103,41311502.0,7749
2024,3,202403,DIST_002,AGC-201,81503356.0,7160
2024,3,202403,DIST-002,AGC-202,78225031.0,7149
2024,3,202403,DIST-002,AGC-203,92294244.0,12499
2024,3,202403,DIST_002,AGC-204,82118468.0,13091
2024,3,202403,DIST_003,AGS-301,90614331.0,5508
2024,3,202403,DIST-003,AGS-302,53062856.0,11220
2024,3,202403,DIST_003,AGS-303,36937587.0,14791
2024,3,202403,DIST-003,AGS-304,85781859.0,8662
2024,3,202403,DIST_003,AGS-305,41415574.0,17293
2024,3,202403,DIST-004,AGO-401,46288441.0,7209
2024,3,202403,DIST_004,AGO-402,88642062.0,17612
2024,3,202403,DIST-004,AGO-403,74245567.0,18601
2024,3,202403,DIST_005,AGW-501,53278001.0,19688
2024,3,202403,DIST-005,AGW-502,83334058.0,14947
2024,3,202403,DIST-005,AGW-503,71519852.0,7760
2024,3,202403,DIST-005,AGW-504,75945096.0,19544
2024,3,202403,DIST-006,AGU-601,59342872.0,18381
2024,3,202403,DIST-006,AGU-602,81574874.0,19634
2024,3,202403,DIST-006,AGU-603,39149482.0,6301
2024,3,202403,DIST-007,AGE-701,43857095.0,14436
2024,3,202403,DIST-007,AGE-702,55087830.0,7223
2024,3,202403,DIST_007,AGE-703,46839124.0,9771
2024,3,202403,DIST_007,AGE-704,60733861.0,11506
2024,3,202403,DIST-008,AGM-801,42018259.0,18247
2024,3,202403,DIST_008,AGM-802,91906581.0,17060
2024,3,202403,DIST_008,AGM-803,96542464.0,16682
2024,3,202403,DIST_008,AGM-804,32336015.0,18130
2024,3,202403,DIST-008,AGM-805,48751351.0,12716
2024,3,202403,DIST_009,AGA-901,88829535.0,15811
2024,3,202403,DIST-009,AGA-902,54355889.0,13924
2024,3,202403,DIST-009,AGA-903,62874757.0,19202
2024,3,202403,DIST_010,AGP-1001,54654064.0,7536
2024,3,202403,DIST-010,AGP-1002,74759743.0,7825
2024,3,202403,DIST-010,AGP-1003,88720147.0,8514
2024,3,202403,DIST-010,AGP-1004,98515761.0,12085
2024,4,202404,DIST-001,AGN-101,64182294.0,16505
2024,4,202404,DIST_001,AGN-102,71733414.0,9309
2024,4,202404,DIST-001,AGN-103,85237866.0,7462
2024,4,202404,DIST_002,AGC-201,48099765.0,13699
2024,4,202404,DIST_002,AGC-202,61854358.0,14348
2024,4,202404,DIST-002,AGC-203,35895805.0,13506
2024,4,202404,DIST-002,AGC-204,80900845.0,15037
2024,4,202404,DIST-003,AGS-301,54495270.0,7474
2024,4,202404,DIST_003,AGS-302,70045063.0,10373
2024,4,202404,DIST-003,AGS-303,99066242.0,16079
2024,4,202404,DIST_003,AGS-304,49152684.0,5351
2024,4,202404,DIST_003,AGS-305,69186245.0,19850
2024,4,202404,DIST-004,AGO-401,55936875.0,16280
2024,4,202404,DIST-004,AGO-402,84627258.0,14062
2024,4,202404,DIST-004,AGO-403,92429680.0,10378
2024,4,202404,DIST_005,AGW-501,66463254.0,9918
2024,4,202404,DIST-005,AGW-502,76611937.0,12855
2024,4,202404,DIST_005,AGW-503,61756193.0,12816
2024,4,202404,DIST-005,AGW-504,80019786.0,17231
2024,4,202404,DIST-006,AGU-601,98973230.0,15790
2024,4,202404,DIST-006,AGU-602,48592104.0,12812
2024,4,202404,DIST-006,AGU-603,31788333.0,18650
2024,4,202404,DIST-007,AGE-701,62974902.0,8094
2024,4,202404,DIST-007,AGE-702,91869604.0,9469
2024,4,202404,DIST-007,AGE-703,34988229.0,17246
2024,4,202404,DIST_007,AGE-704,53758063.0,19429
2024,4,202404,DIST-008,AGM-801,30981465.0,15526
2024,4,202404,DIST_008,AGM-802,50351028.0,18153
2024,4,202404,DIST-008,AGM-803,96354058.0,9561
2024,4,202404,DIST-008,AGM-804,58367649.0,9644
2024,4,202404,DIST-008,AGM-805,43453288.0,17928
2024,4,202404,DIST-009,AGA-901,60192554.0,9361
2024,4,202404,DIST_009,AGA-902,38570626.0,5329
2024,4,202404,DIST_009,AGA-903,45170101.0,12840
2024,4,202404,DIST-010,AGP-1001,45192972.0,8946
2024,4,202404,DIST-010,AGP-1002,43710196.0,9965
2024,4,202404,DIST-010,AGP-1003,57014132.0,19142
2024,4,202404,DIST-010,AGP-1004,44755609.0,13787
2024,5,202405,DIST-001,AGN-101,84885966.0,19586
2024,5,202405,DIST_001,AGN-102,76342657.0,14966
2024,5,202405,DIST_001,AGN-103,96942976.0,5779
2024,5,202405,DIST_002,AGC-201,34157699.0,17225
2024,5,202405,DIST-002,AGC-202,39401462.0,5056
2024,5,202405,DIST-002,AGC-203,57961157.0,6932
2024,5,202405,DIST-002,AGC-204,60435026.0,15691
2024,5,202405,DIST-003,AGS-301,59447633.0,12437
2024,5,202405,DIST_003,AGS-302,59827125.0,6417
2024,5,202405,DIST-003,AGS-303,49163560.0,15773
2024,5,202405,DIST-003,AGS-304,90246122.0,7568
2024,5,202405,DIST_003,AGS-305,54226547.0,17382
2024,5,202405,DIST-004,AGO-401,39097089.0,18360
2024,5,202405,DIST-004,AGO-402,49886501.0,5266
2024,5,202405,DIST-004,AGO-403,53507531.0,11539
2024,5,202405,DIST-005,AGW-501,94136627.0,14988
2024,5,202405,DIST-005,AGW-502,73361342.0,15387
2024,5,202405,DIST-005,AGW-503,48965554.0,9381
2024,5,202405,DIST_005,AGW-504,78012797.0,16802
2024,5,202405,DIST-006,AGU-601,78800733.0,9034
2024,5,202405,DIST_006,AGU-602,55488579.0,17365
2024,5,202405,DIST-006,AGU-603,47854933.0,17999
2024,5,202405,DIST-007,AGE-701,77775320.0,15028
2024,5,202405,DIST_007,AGE-702,62386025.0,12455
2024,5,202405,DIST-007,AGE-703,48848998.0,5096
2024,5,202405,DIST-007,AGE-704,37866907.0,8304
2024,5,202405,DIST-008,AGM-801,80688632.0,16318
2024,5,202405,DIST-008,AGM-802,41013039.0,8717
2024,5,202405,DIST-008,AGM-803,93468147.0,11046
2024,5,202405,DIST-008,AGM-804,71800925.0,8517
2024,5,202405,DIST-008,AGM-805,57196133.0,17161
2024,5,202405,DIST-009,AGA-901,30969234.0,17601
2024,5,202405,DIST-009,AGA-902,52364476.0,13559
2024,5,202405,DIST-009,AGA-903,48851934.0,19514
2024,5,202405,DIST-010,AGP-1001,73248801.0,13371
2024,5,202405,DIST-010,AGP-1002,78452654.0,18002
2024,5,202405,DIST-010,AGP-1003,37566576.0,8505
2024,5,202405,DIST_010,AGP-1004,63397254.0,18194
2024,6,202406,DIST_001,AGN-101,44372221.0,11453
2024,6,202406,DIST-001,AGN-102,110900815.0,19669
2024,6,202406,DIST_001,AGN-103,46754575.0,15368
2024,6,202406,DIST_002,AGC-201,36059683.0,10468
2024,6,202406,DIST-002,AGC-202,111072362.0,13580
2024,6,202406,DIST-002,AGC-203,92145364.0,19958
2024,6,202406,DIST_002,AGC-204,76405752.0,6376
2024,6,202406,DIST-003,AGS-301,108755509.0,10777
2024,6,202406,DIST-003,AGS-302,77629938.0,19654
2024,6,202406,DIST-003,AGS-303,47224159.0,11145
2024,6,202406,DIST-003,AGS-304,96795163.0,19516
2024,6,202406,DIST_003,AGS-305,85777015.0,5209
2024,6,202406,DIST-004,AGO-401,91288926.0,6570
2024,6,202406,DIST-004,AGO-402,40080707.0,5942
2024,6,202406,DIST_004,AGO-403,99438083.0,15669
2024,6,202406,DIST-005,AGW-501,66230152.0,17432
2024,6,202406,DIST-005,AGW-502,84876284.0,6232
2024,6,202406,DIST_005,AGW-503,93551315.0,16340
2024,6,202406,DIST-005,AGW-504,44149321.0,8334
2024,6,202406,DIST-006,AGU-601,78356274.0,15879
2024,6,202406,DIST-006,AGU-602,66514033.0,17903
2024,6,202406,DIST-006,AGU-603,114267518.0,11041
2024,6,202406,DIST-007,AGE-701,95822221.0,5358
2024,6,202406,DIST-007,AGE-702,119455271.0,14017
2024,6,202406,DIST_007,AGE-703,103505459.0,13513
2024,6,202406,DIST-007,AGE-704,115040117.0,17599
2024,6,202406,DIST-008,AGM-801,74922457.0,15372
2024,6,202406,DIST-008,AGM-802,79650187.0,16438
2024,6,202406,DIST_008,AGM-803,58838711.0,9700
2024,6,202406,DIST-008,AGM-804,43324636.0,16627
2024,6,202406,DIST-008,AGM-805,70010770.0,9170
2024,6,202406,DIST_009,AGA-901,40753716.0,10808
2024,6,202406,DIST_009,AGA-902,53382743.0,12297
2024,6,202406,DIST_009,AGA-903,63445976.0,19418
2024,6,202406,DIST_010,AGP-1001,95791890.0,14334
2024,6,202406,DIST-010,AGP-1002,86047234.0,7552
2024,6,202406,DIST-010,AGP-1003,71703800.0,14250
2024,6,202406,DIST-010,AGP-1004,72748160.0,6205
2024,7,202407,DIST_001,AGN-101,76372734.0,5075
2024,7,202407,DIST-001,AGN-102,62153271.0,17579
2024,7,202407,DIST-001,AGN-103,96957467.0,11532
2024,7,202407,DIST_002,AGC-201,66015043.0,7017
2024,7,202407,DIST-002,AGC-202,39411542.0,18157
2024,7,202407,DIST_002,AGC-203,55315470.0,15376
2024,7,202407,DIST_002,AGC-204,56795129.0,10440
2024,7,202407,DIST-003,AGS-301,92209317.0,10333
2024,7,202407,DIST-003,AGS-302,83032920.0,13575
2024,7,202407,DIST-003,AGS-303,45418245.0,10492
2024,7,202407,DIST-003,AGS-304,86475021.0,8735
2024,7,202407,DIST-003,AGS-305,70035429.0,10373
2024,7,202407,DIST-004,AGO-401,65720460.0,13612
2024,7,202407,DIST-004,AGO-402,60912387.0,6702
2024,7,202407,DIST-004,AGO-403,68331466.0,5028
2024,7,202407,DIST-005,AGW-501,39478027.0,10075
2024,7,202407,DIST-005,AGW-502,77678395.0,13201
2024,7,202407,DIST-005,AGW-503,65207907.0,8421
2024,7,202407,DIST-005,AGW-504,97851009.0,12143
2024,7,202407,DIST-006,AGU-601,37260161.0,16546
2024,7,202407,DIST-006,AGU-602,59971397.0,5773
2024,7,202407,DIST-006,AGU-603,54097640.0,5768
2024,7,202407,DIST-007,AGE-701,63358218.0,7685
2024,7,202407,DIST_007,AGE-702,38119116.0,11702
2024,7,202407,DIST-007,AGE-703,88875856.0,12979
2024,7,202407,DIST-007,AGE-704,71704274.0,8147
2024,7,202407,DIST-008,AGM-801,34400391.0,9681
2024,7,202407,DIST-008,AGM-802,86166184.0,5497
2024,7,202407,DIST-008,AGM-803,69001503.0,13001
2024,7,202407,DIST-008,AGM-804,58900261.0,18106
2024,7,202407,DIST-008,AGM-805,48002310.0,17823
2024,7,202407,DIST-009,AGA-901,72596146.0,12247
2024,7,202407,DIST_009,AGA-902,79606215.0,7638
2024,7,202407,DIST-009,AGA-903,80063862.0,10989
2024,7,202407,DIST_010,AGP-1001,91470356.0,12303
2024,7,202407,DIST-010,AGP-1002,63891995.0,17961
2024,7,202407,DIST-010,AGP-1003,55605952.0,10449
2024,7,202407,DIST_010,AGP-1004,41396590.0,11671
2024,8,202408,DIST_001,AGN-101,85192892.0,12250
2024,8,202408,DIST-001,AGN-102,87669340.0,11253
2024,8,202408,DIST-001,AGN-103,45522510.0,6086
2024,8,202408,DIST_002,AGC-201,91460212.0,15314
2024,8,202408,DIST_002,AGC-202,84205167.0,16965
2024,8,202408,DIST-002,AGC-203,34798348.0,10733
2024,8,202408,DIST-002,AGC-204,91566350.0,16427
2024,8,202408,DIST-003,AGS-301,78232476.0,13807
2024,8,202408,DIST-003,AGS-302,57289932.0,5785
2024,8,202408,DIST_003,AGS-303,41983216.0,13884
2024,8,202408,DIST-003,AGS-304,49723623.0,11771
2024,8,202408,DIST-003,AGS-305,48409529.0,10431
2024,8,202408,DIST-004,AGO-401,93625536.0,17698
2024,8,202408,DIST_004,AGO-402,53476411.0,15838
2024,8,202408,DIST-004,AGO-403,70390247.0,12369
2024,8,202408,DIST_005,AGW-501,73449846.0,6586
2024,8,202408,DIST-005,AGW-502,34120848.0,19206
2024,8,202408,DIST-005,AGW-503,86487779.0,13464
2024,8,202408,DIST-005,AGW-504,91907045.0,15641
2024,8,202408,DIST-006,AGU-601,32079336.0,10612
2024,8,202408,DIST-006,AGU-602,81239109.0,18214
2024,8,202408,DIST_006,AGU-603,53473794.0,11584
2024,8,202408,DIST-007,AGE-701,79321632.0,7537
2024,8,202408,DIST-007,AGE-702,86426834.0,5142
2024,8,202408,DIST-007,AGE-703,35106535.0,16275
2024,8,202408,DIST-007,AGE-704,83503755.0,5316
2024,8,202408,DIST-008,AGM-801,48327856.0,7582
2024,8,202408,DIST-008,AGM-802,97133270.0,13659
2024,8,202408,DIST-008,AGM-803,38713758.0,18094
2024,8,202408,DIST_008,AGM-804,51428641.0,17192
2024,8,202408,DIST-008,AGM-805,47275602.0,12111
2024,8,202408,DIST-009,AGA-901,80942662.0,13660
2024,8,202408,DIST_009,AGA-902,50476061.0,6913
2024,8,202408,DIST_009,AGA-903,56262875.0,7269
2024,8,202408,DIST-010,AGP-1001,65009004.0,7930
2024,8,202408,DIST_010,AGP-1002,65337837.0,6729
2024,8,202408,DIST-010,AGP-1003,98952445.0,15767
2024,8,202408,DIST-010,AGP-1004,95267934.0,17013
2024,9,202409,DIST-001,AGN-101,59838032.0,11428
2024,9,202409,DIST-001,AGN-102,71033349.0,14672
2024,9,202409,DIST-001,AGN-103,49894588.0,7338
2024,9,202409,DIST-002,AGC-201,80651032.0,17050
2024,9,202409,DIST_002,AGC-202,72583270.0,8006
2024,9,202409,DIST-002,AGC-203,98854953.0,10642
2024,9,202409,DIST-002,AGC-204,58121195.0,18335
2024,9,202409,DIST_003,AGS-301,51800327.0,6812
2024,9,202409,DIST-003,AGS-302,94112709.0,14292
2024,9,202409,DIST-003,AGS-303,43389309.0,18792
2024,9,202409,DIST-003,AGS-304,45993470.0,19512
2024,9,202409,DIST-003,AGS-305,99685783.0,7531
2024,9,202409,DIST-004,AGO-401,92031046.0,14499
2024,9,202409,DIST_004,AGO-402,40486788.0,17940
2024,9,202409,DIST-004,AGO-403,76981128.0,8167
2024,9,202409,DIST-005,AGW-501,70873992.0,13363
2024,9,202409,DIST-005,AGW-502,98323542.0,17615
2024,9,202409,DIST-005,AGW-503,46710890.0,10256
2024,9,202409,DIST-005,AGW-504,69807267.0,7169
2024,9,202409,DIST_006,AGU-601,90496359.0,17680
2024,9,202409,DIST-006,AGU-602,44031459.0,10099
2024,9,202409,DIST_006,AGU-603,99376667.0,18607
2024,9,202409,DIST-007,AGE-701,81733208.0,18487
2024,9,202409,DIST-007,AGE-702,84617293.0,7780
2024,9,202409,DIST-007,AGE-703,92213710.0,11461
2024,9,202409,DIST-007,AGE-704,83677826.0,5469
2024,9,202409,DIST_008,AGM-801,43283000.0,5844
2024,9,202409,DIST-008,AGM-802,92600390.0,9250
2024,9,202409,DIST-008,AGM-803,94133748.0,13824
2024,9,202409,DIST-008,AGM-804,31564818.0,8855
2024,9,202409,DIST-008,AGM-805,75801522.0,9418
2024,9,202409,DIST_009,AGA-901,94870732.0,11909
2024,9,202409,DIST_009,AGA-902,46775437.0,14026
2024,9,202409,DIST-009,AGA-903,31442644.0,5126
2024,9,202409,DIST-010,AGP-1001,57404781.0,19340
2024,9,202409,DIST_010,AGP-1002,79339799.0,19429
2024,9,202409,DIST_010,AGP-1003,61880224.0,15818
2024,9,202409,DIST-010,AGP-1004,66575501.0,7262
2024,10,202410,DIST-001,AGN-101,30986219.0,9431
2024,10,202410,DIST-001,AGN-102,78520907.0,18690
2024,10,202410,DIST-001,AGN-103,81152575.0,6175
2024,10,202410,DIST-002,AGC-201,64578606.0,14245
2024,10,202410,DIST_002,AGC-202,45353833.0,10774
2024,10,202410,DIST-002,AGC-203,84070647.0,10572
2024,10,202410,DIST-002,AGC-204,63742887.0,10157
2024,10,202410,DIST_003,AGS-301,46733536.0,14530
2024,10,202410,DIST-003,AGS-302,96911098.0,7005
2024,10,202410,DIST-003,AGS-303,74301279.0,5890
2024,10,202410,DIST-003,AGS-304,58964863.0,6386
2024,10,202410,DIST-003,AGS-305,88620139.0,16243
2024,10,202410,DIST_004,AGO-401,47263291.0,18780
2024,10,202410,DIST-004,AGO-402,60695657.0,18893
2024,10,202410,DIST-004,AGO-403,53938274.0,8361
2024,10,202410,DIST-005,AGW-501,96966837.0,12922
2024,10,202410,DIST-005,AGW-502,92310065.0,6242
2024,10,202410,DIST_005,AGW-503,41382821.0,10927
2024,10,202410,DIST-005,AGW-504,45175144.0,18710
2024,10,202410,DIST_006,AGU-601,80802240.0,16161
2024,10,202410,DIST-006,AGU-602,78004539.0,14888
2024,10,202410,DIST-006,AGU-603,80811411.0,12762
2024,10,202410,DIST_007,AGE-701,87562893.0,16960
2024,10,202410,DIST_007,AGE-702,64495444.0,13981
2024,10,202410,DIST-007,AGE-703,84825417.0,12792
2024,10,202410,DIST_007,AGE-704,89376897.0,10281
2024,10,202410,DIST-008,AGM-801,75234877.0,5286
2024,10,202410,DIST-008,AGM-802,96472263.0,8115
2024,10,202410,DIST-008,AGM-803,47510605.0,12575
2024,10,202410,DIST_008,AGM-804,63553065.0,7385
2024,10,202410,DIST-008,AGM-805,66805969.0,7515
2024,10,202410,DIST-009,AGA-901,89897227.0,8423
2024,10,202410,DIST-009,AGA-902,61184085.0,6360
2024,10,202410,DIST-009,AGA-903,32225788.0,13946
2024,10,202410,DIST-010,AGP-1001,46696251.0,13554
2024,10,202410,DIST-010,AGP-1002,95562779.0,14564
2024,10,202410,DIST-010,AGP-1003,35613041.0,15131
2024,10,202410,DIST-010,AGP-1004,75204756.0,9299
2024,11,202411,DIST-001,AGN-101,112053800.0,19690
2024,11,202411,DIST_001,AGN-102,91727651.0,9303
2024,11,202411,DIST-001,AGN-103,44576209.0,15821
2024,11,202411,DIST-002,AGC-201,110570027.0,16899
2024,11,202411,DIST-002,AGC-202,57325630.0,13870
2024,11,202411,DIST-002,AGC-203,113770013.0,6791
2024,11,202411,DIST-002,AGC-204,106518750.0,17934
2024,11,202411,DIST-003,AGS-301,56373246.0,10880
2024,11,202411,DIST-003,AGS-302,108606550.0,8189
2024,11,202411,DIST-003,AGS-303,66455881.0,19905
2024,11,202411,DIST-003,AGS-304,83007948.0,6095
2024,11,202411,DIST_003,AGS-305,77753534.0,12650
2024,11,202411,DIST-004,AGO-401,59955514.0,5393
2024,11,202411,DIST-004,AGO-402,51763040.0,10000
2024,11,202411,DIST-004,AGO-403,69100704.0,16308
2024,11,202411,DIST-005,AGW-501,47223065.0,8676
2024,11,202411,DIST_005,AGW-502,102983742.0,16406
2024,11,202411,DIST-005,AGW-503,119495844.0,19164
2024,11,202411,DIST-005,AGW-504,50346008.0,12663
2024,11,202411,DIST-006,AGU-601,83013160.0,15011
2024,11,202411,DIST_006,AGU-602,52314173.0,9539
2024,11,202411,DIST-006,AGU-603,117618862.0,15457
2024,11,202411,DIST_007,AGE-701,80084459.0,17705
2024,11,202411,DIST-007,AGE-702,65152679.0,18070
2024,11,202411,DIST-007,AGE-703,93646326.0,13665
2024,11,202411,DIST-007,AGE-704,52269017.0,5235
2024,11,202411,DIST-008,AGM-801,81376567.0,13345
2024,11,202411,DIST-008,AGM-802,80078881.0,14027
2024,11,202411,DIST_008,AGM-803,38083556.0,19530
2024,11,202411,DIST-008,AGM-804,59077561.0,13497
2024,11,202411,DIST_008,AGM-805,42084702.0,16486
2024,11,202411,DIST-009,AGA-901,79261026.0,19291
2024,11,202411,DIST-009,AGA-902,64912762.0,16949
2024,11,202411,DIST-009,AGA-903,115056540.0,8921
2024,11,202411,DIST-010,AGP-1001,37853059.0,11778
2024,11,202411,DIST-010,AGP-1002,47074404.0,19717
2024,11,202411,DIST-010,AGP-1003,45413564.0,6300
2024,11,202411,DIST-010,AGP-1004,95912039.0,15011
2024,12,202412,DIST_001,AGN-101,88175955.0,10160
2024,12,202412,DIST-001,AGN-102,49184610.0,5824
2024,12,202412,DIST-001,AGN-103,120363772.0,6381
2024,12,202412,DIST-002,AGC-201,122842395.0,17746
2024,12,202412,DIST-002,AGC-202,136701989.0,19693
2024,12,202412,DIST-002,AGC-203,65595622.0,13505
2024,12,202412,DIST-002,AGC-204,123825997.0,18702
2024,12,202412,DIST-003,AGS-301,52079289.0,16651
2024,12,202412,DIST_003,AGS-302,97902951.0,10684
2024,12,202412,DIST-003,AGS-303,101568323.0,13335
2024,12,202412,DIST-003,AGS-304,101105540.0,13796
2024,12,202412,DIST_003,AGS-305,118559046.0,14653
2024,12,202412,DIST-004,AGO-401,137175874.0,7751
2024,12,202412,DIST-004,AGO-402,134228144.0,9890
2024,12,202412,DIST-004,AGO-403,88891503.0,17788
2024,12,202412,DIST-005,AGW-501,114307182.0,14645
2024,12,202412,DIST_005,AGW-502,69465778.0,19496
2024,12,202412,DIST_005,AGW-503,71686328.0,5695
2024,12,202412,DIST-005,AGW-504,96409111.0,11958
2024,12,202412,DIST-006,AGU-601,122118860.0,8034
2024,12,202412,DIST-006,AGU-602,44807479.0,16309
2024,12,202412,DIST-006,AGU-603,92421001.0,14402
2024,12,202412,DIST-007,AGE-701,62300504.0,17273
2024,12,202412,DIST-007,AGE-702,122827335.0,8966
2024,12,202412,DIST-007,AGE-703,93793309.0,8396
2024,12,202412,DIST-007,AGE-704,97125742.0,10570
2024,12,202412,DIST_008,AGM-801,93939160.0,6350
2024,12,202412,DIST-008,AGM-802,50123354.0,7163
2024,12,202412,DIST-008,AGM-803,65112880.0,18759
2024,12,202412,DIST-008,AGM-804,92331173.0,7625
2024,12,202412,DIST-008,AGM-805,85664072.0,8544
2024,12,202412,DIST_009,AGA-901,67358848.0,10326
2024,12,202412,DIST-009,AGA-902,82577704.0,15212
2024,12,202412,DIST_009,AGA-903,88891214.0,19729
2024,12,202412,DIST-010,AGP-1001,71408344.0,13250
2024,12,202412,DIST_010,AGP-1002,84553449.0,12346
2024,12,202412,DIST-010,AGP-1003,54400724.0,18115
2024,12,202412,DIST-010,AGP-1004,57814372.0,12076
2025,1,202501,DIST_001,AGN-101,82484762.0,8707
2025,1,202501,DIST-001,AGN-102,30392136.0,18248
2025,1,202501,DIST-001,AGN-103,49417015.0,10671
2025,1,202501,DIST-002,AGC-201,73936930.0,19712
2025,1,202501,DIST-002,AGC-202,78708552.0,10462
2025,1,202501,DIST-002,AGC-203,30681044.0,12797
2025,1,202501,DIST-002,AGC-204,75808458.0,12022
2025,1,202501,DIST-003,AGS-301,41250980.0,15598
2025,1,202501,DIST_003,AGS-302,69258439.0,6561
2025,1,202501,DIST-003,AGS-303,47960587.0,11108
2025,1,202501,DIST_003,AGS-304,69694767.0,14089
2025,1,202501,DIST-003,AGS-305,36539023.0,13567
2025,1,202501,DIST-004,AGO-401,61821537.0,6947
2025,1,202501,DIST_004,AGO-402,36730964.0,5402
2025,1,202501,DIST-004,AGO-403,40642633.0,16067
2025,1,202501,DIST-005,AGW-501,82619400.0,11348
2025,1,202501,DIST-005,AGW-502,30627573.0,18627
2025,1,202501,DIST-005,AGW-503,47557037.0,14287
2025,1,202501,DIST-005,AGW-504,65767314.0,18235
2025,1,202501,DIST-006,AGU-601,30093576.0,15281
2025,1,202501,DIST-006,AGU-602,72339049.0,15014
2025,1,202501,DIST-006,AGU-603,42983613.0,19357
